time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,class
1.01944878,198842,599,1309,2651,742040,655075,vgg16
1.142934119,1135110,8129,16403,25470,3944303,5034621,vgg16
1.153160805,3198067,37472,140042,292185,14354234,15029306,vgg16
1.163436781,6329439,235698,227571,907979,33411802,31585130,vgg16
1.173661991,9128485,320543,185722,1161046,48869789,53150261,vgg16
1.183811765,8808929,215048,387994,1053531,74125935,83469656,vgg16
1.194035904,9197302,288432,354428,1179713,64541659,71707560,vgg16
1.204193358,14945945,154705,584674,1124168,151901435,232537998,vgg16
1.21437523,14968731,166682,912738,1644705,152414127,184842609,vgg16
1.224702749,11925653,174775,726420,1423201,141694332,165684315,vgg16
1.234904308,12340436,157335,916658,1657193,155871342,169195975,vgg16
1.245084628,12783822,188835,757984,1445879,134012318,170160663,vgg16
1.255220551,18025583,168070,432244,864417,190388218,323113050,vgg16
1.265398868,26034308,22671,604382,677569,307803143,552144067,vgg16
1.275520423,25901838,21041,604073,675024,306599674,549338473,vgg16
1.28566019,25955005,16696,605403,674447,307083992,550692711,vgg16
1.295800307,25945933,16806,603535,676577,306918968,550091696,vgg16
1.305947926,25999938,16109,605594,676156,307435531,551682601,vgg16
1.316086552,25963397,16447,605951,676886,307042444,550660158,vgg16
1.326223593,25970670,16875,604928,672543,307029418,550898051,vgg16
1.336361267,25862971,16134,601988,676686,305792554,548642005,vgg16
1.346502891,25817804,15835,601242,670726,304937543,547607658,vgg16
1.356639332,25883990,15681,603341,673000,307113306,548993806,vgg16
1.366805365,19850213,31265,2121244,2909142,271771831,223897700,vgg16
1.37714287,21167592,35752,3199216,4439880,311539521,127191453,vgg16
1.387387752,21037900,35380,3173292,4405776,309524658,126513414,vgg16
1.397637112,20324102,39387,3058886,4257774,288567352,122335136,vgg16
1.407957453,21154907,34792,3192036,4427803,311577897,127181825,vgg16
1.418208869,21091609,30065,3180157,4416242,310119956,126792395,vgg16
1.428461016,20525198,39173,2089192,2946514,209520528,128436361,vgg16
1.438662416,21554305,54569,111114,301514,42621658,146672179,vgg16
1.448811782,16285834,144603,359114,706176,129005524,227445464,vgg16
1.459004627,26031372,20116,604303,683042,307641485,551930731,vgg16
1.469170536,22021562,29625,1865334,2564343,293285055,304916029,vgg16
1.479524107,17241834,76314,1742200,2536814,168935752,107011717,vgg16
1.489669026,18989539,110746,1094687,1751150,217216042,281958488,vgg16
1.49980011,5374929,146292,206616,525930,42158034,62843061,vgg16
1.510012243,495926,3605,117351,134065,42769463,80031272,vgg16
1.52020479,496426,3420,117738,132697,42690457,79926612,vgg16
1.5303921,495925,3353,117302,131262,42690018,79922427,vgg16
1.540591317,496732,3323,116628,131166,42709581,80022612,vgg16
1.550774815,496313,3305,116455,130980,42674137,79927477,vgg16
1.560961028,496854,3333,116160,131268,42681904,79926523,vgg16
1.571148975,496090,3288,116048,130213,42692277,80017590,vgg16
1.581334081,496361,3329,116253,131408,42612407,79795930,vgg16
1.591512568,496987,3372,116295,131973,42602219,79753534,vgg16
1.601707311,495997,3216,116133,130493,42721508,80038856,vgg16
1.611893533,496898,3322,116523,131699,42681989,79942350,vgg16
1.622075121,495893,3281,115976,130503,42664694,79964868,vgg16
1.632255205,496267,3268,115957,130993,42630286,79810233,vgg16
1.642437304,493933,3294,116102,130024,42640250,79863155,vgg16
1.65262972,496669,3198,116255,131115,42682986,79959887,vgg16
1.662810155,495569,3263,115941,129988,42660794,79953097,vgg16
1.672985044,495666,3277,115410,130755,42642965,79921434,vgg16
1.683168049,495769,3192,116191,130403,42649014,79891007,vgg16
1.693375157,499676,3205,116918,131942,42758430,80105838,vgg16
1.703562399,494753,3376,115403,131100,42633862,79889187,vgg16
1.713744129,493330,3373,113220,130861,42423815,79350637,vgg16
1.723937397,498524,3286,112977,130896,42711225,80104776,vgg16
1.734108216,488464,3462,114587,128201,42202397,78981939,vgg16
1.744291993,496328,3648,116432,130990,42645047,79854486,vgg16
1.754471819,495712,3629,116796,130581,42657115,79867523,vgg16
1.764631181,492220,3671,109652,130285,42162642,79129641,vgg16
1.774826769,484330,3559,105954,127854,41802970,78150868,vgg16
1.785041192,497015,3361,114317,131552,42694935,80037783,vgg16
1.795218337,492413,3364,115879,130241,42489412,79544831,vgg16
